GPU 0: NVIDIA GeForce RTX 3050 Laptop GPU with 4095.5 MB memory
Using device: cuda


=== [1/10] Creating EA Adversarial Image for D:\malnet-images\test\addisplay\adflex\1CD2B84FB821356A6F43474122263C0663C58EDD6C6F629D800EC0F9EAD731A9.png ===

--- Original Prediction Results ---
Predicted class: 4 (adware)

Confidence     : 0.4133

True class     : 0 (addisplay)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 7747 with confidence 0.3065!

Failed to generate adversarial image in 10000 iterations.
Benign first became best at iteration 7747 with confidence 0.3065

Benign probability changes (iteration, prob):
Iteration 1: Benign prob = 0.0007
Iteration 2: Benign prob = 0.0014
Iteration 3: Benign prob = 0.0014
Iteration 5: Benign prob = 0.0015
Iteration 6: Benign prob = 0.0017
Iteration 7: Benign prob = 0.0018
Iteration 12: Benign prob = 0.0019
Iteration 13: Benign prob = 0.0020
Iteration 18: Benign prob = 0.0021
Iteration 19: Benign prob = 0.0021
Iteration 22: Benign prob = 0.0023
Iteration 32: Benign prob = 0.0024
Iteration 35: Benign prob = 0.0025
Iteration 36: Benign prob = 0.0025
Iteration 39: Benign prob = 0.0028
Iteration 47: Benign prob = 0.0028
Iteration 51: Benign prob = 0.0030
Iteration 52: Benign prob = 0.0031
Iteration 68: Benign prob = 0.0032
Iteration 75: Benign prob = 0.0035
Iteration 95: Benign prob = 0.0036
Iteration 96: Benign prob = 0.0039
Iteration 119: Benign prob = 0.0039
Iteration 120: Benign prob = 0.0040
Iteration 122: Benign prob = 0.0042
Iteration 127: Benign prob = 0.0042
Iteration 131: Benign prob = 0.0043
Iteration 132: Benign prob = 0.0043
Iteration 143: Benign prob = 0.0048
Iteration 152: Benign prob = 0.0048
Iteration 164: Benign prob = 0.0049
Iteration 185: Benign prob = 0.0052
Iteration 198: Benign prob = 0.0052
Iteration 207: Benign prob = 0.0055
Iteration 240: Benign prob = 0.0056
Iteration 247: Benign prob = 0.0058
Iteration 250: Benign prob = 0.0059
Iteration 253: Benign prob = 0.0060
Iteration 276: Benign prob = 0.0061
Iteration 304: Benign prob = 0.0065
Iteration 311: Benign prob = 0.0067
Iteration 323: Benign prob = 0.0067
Iteration 331: Benign prob = 0.0070
Iteration 351: Benign prob = 0.0072
Iteration 352: Benign prob = 0.0072
Iteration 372: Benign prob = 0.0072
Iteration 376: Benign prob = 0.0073
Iteration 380: Benign prob = 0.0074
Iteration 386: Benign prob = 0.0075
Iteration 404: Benign prob = 0.0075
Iteration 407: Benign prob = 0.0077
Iteration 411: Benign prob = 0.0077
Iteration 419: Benign prob = 0.0080
Iteration 425: Benign prob = 0.0085
Iteration 485: Benign prob = 0.0089
Iteration 492: Benign prob = 0.0091
Iteration 500: Benign prob = 0.0095
Iteration 549: Benign prob = 0.0096
Iteration 619: Benign prob = 0.0097
Iteration 646: Benign prob = 0.0100
Iteration 648: Benign prob = 0.0102
Iteration 661: Benign prob = 0.0111
Iteration 674: Benign prob = 0.0113
Iteration 678: Benign prob = 0.0115
Iteration 682: Benign prob = 0.0119
Iteration 700: Benign prob = 0.0121
Iteration 711: Benign prob = 0.0130
Iteration 742: Benign prob = 0.0142
Iteration 752: Benign prob = 0.0142
Iteration 757: Benign prob = 0.0148
Iteration 773: Benign prob = 0.0151
Iteration 781: Benign prob = 0.0153
Iteration 799: Benign prob = 0.0156
Iteration 802: Benign prob = 0.0156
Iteration 821: Benign prob = 0.0158
Iteration 822: Benign prob = 0.0172
